Description,RAM(Random Processing memory),Price,Rating,ReviewCount
Apple iPhone 11 (128GB) - Yellow,128 GB,"49,900",4.5,259
Apple iPhone XR (128GB) - Coral,128 GB,"42,999",4.5,"7,599"
Apple iPhone 13 (128GB) - Blue,128 GB,"68,900",4.6,"6,824"
Apple iPhone 13 (128GB) - Midnight,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (128GB) - Starlight,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (256 GB) - Green,256GB,"76,900",4.6,"6,824"
Apple iPhone 12 (128GB) - Purple,128 GB,"60,900",4.6,"10,032"
Apple iPhone 13 Pro Max (256GB) - Sierra Blue,256GB,"1,25,900",4.7,923
Apple iPhone 13 Pro (128GB) - Sierra Blue,128 GB,"1,04,900",4.7,755
Apple iPhone 13 (128GB) - (Product) RED,256GB,"69,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Blue,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Midnight,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Starlight,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Pink,256GB,"76,900",4.6,"6,824"
Apple iPhone 12 (128GB) - White,128 GB,"60,900",4.6,"10,032"
Apple iPhone SE (128 GB) - (Product) RED (3rd Generation),256GB,"47,990",4.2,163
Apple iPhone 13 Pro (256 GB) - Alpine Green,256GB,"1,14,900",4.7,755
Apple iPhone 11 (128GB) - Yellow,128 GB,"49,900",4.5,259
Apple iPhone XR (128GB) - Coral,256GB,"42,999",4.5,"7,599"
Apple iPhone 13 (128GB) - Blue,128 GB,"68,900",4.6,"6,824"
Apple iPhone 13 (128GB) - Midnight,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (128GB) - Starlight,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (256 GB) - Green,256GB,"76,900",4.6,"6,824"
Apple iPhone 12 (128GB) - Purple,128 GB,"60,900",4.6,"10,032"
Apple iPhone 13 Pro Max (256GB) - Sierra Blue,256GB,"1,25,900",4.7,923
Apple iPhone 13 Pro (128GB) - Sierra Blue,128 GB,"1,04,900",4.7,755
Apple iPhone 13 (128GB) - (Product) RED,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Blue,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Midnight,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Starlight,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Pink,256GB,"76,900",4.6,"6,824"
Apple iPhone 12 (128GB) - White,128 GB,"60,900",4.6,"10,032"
Apple iPhone SE (128 GB) - (Product) RED (3rd Generation),128 GB,"47,990",4.2,163
Apple iPhone 12 Mini (128GB) - Blue,128 GB,"64,900",4.5,"5,804"
Apple iPhone 11 (128GB) - Yellow,128 GB,"49,900",4.5,259
Apple iPhone XR (128GB) - Coral,128 GB,"42,999",4.5,"7,599"
Apple iPhone 13 (128GB) - Blue,128 GB,"68,900",4.6,"6,824"
Apple iPhone 13 (128GB) - Midnight,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (128GB) - Starlight,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (256 GB) - Green,256GB,"76,900",4.6,"6,824"
Apple iPhone 12 (128GB) - Purple,128 GB,"60,900",4.6,"10,032"
Apple iPhone 13 Pro Max (256GB) - Sierra Blue,256GB,"1,25,900",4.7,923
Apple iPhone 13 Pro (128GB) - Sierra Blue,128 GB,"1,04,900",4.7,755
Apple iPhone 13 (128GB) - (Product) RED,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Blue,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Midnight,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Starlight,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Pink,256GB,"76,900",4.6,"6,824"
Apple iPhone 12 (128GB) - White,128 GB,"60,900",4.6,"10,032"
Apple iPhone SE (128 GB) - (Product) RED (3rd Generation),128 GB,"47,990",4.2,163
Apple iPhone 12 Mini (128GB) - Blue,128 GB,"64,900",4.5,"5,804"
Apple iPhone 11 (128GB) - Yellow,128 GB,"49,900",4.5,259
Apple iPhone XR (128GB) - Coral,128 GB,"42,999",4.5,"7,599"
Apple iPhone 13 (128GB) - Blue,128 GB,"68,900",4.6,"6,824"
Apple iPhone 13 (128GB) - Midnight,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (128GB) - Starlight,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (256 GB) - Green,256GB,"76,900",4.6,"6,824"
Apple iPhone 12 (128GB) - Purple,128 GB,"60,900",4.6,"10,032"
Apple iPhone 13 Pro Max (256GB) - Sierra Blue,256GB,"1,25,900",4.7,923
Apple iPhone 13 Pro (128GB) - Sierra Blue,128 GB,"1,04,900",4.7,755
Apple iPhone 13 (128GB) - (Product) RED,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Blue,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Midnight,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Starlight,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Pink,256GB,"76,900",4.6,"6,824"
Apple iPhone 12 (128GB) - White,128 GB,"60,900",4.6,"10,032"
Apple iPhone SE (128 GB) - (Product) RED (3rd Generation),128 GB,"47,990",4.2,163
Apple iPhone 12 Mini (128GB) - Blue,128 GB,"64,900",4.5,"5,804"
Apple iPhone 11 (128GB) - Yellow,128 GB,"49,900",4.5,259
Apple iPhone XR (128GB) - Coral,128 GB,"42,999",4.5,"7,599"
Apple iPhone 13 (128GB) - Blue,128 GB,"68,900",4.6,"6,824"
Apple iPhone 13 (128GB) - Midnight,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (128GB) - Starlight,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (256 GB) - Green,256GB,"76,900",4.6,"6,824"
Apple iPhone 12 (128GB) - Purple,128 GB,"60,900",4.6,"10,032"
Apple iPhone 13 Pro Max (256GB) - Sierra Blue,256GB,"1,25,900",4.7,923
Apple iPhone 13 Pro (128GB) - Sierra Blue,128 GB,"1,04,900",4.7,755
Apple iPhone 13 (128GB) - (Product) RED,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Blue,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Midnight,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Starlight,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Pink,256GB,"76,900",4.6,"6,824"
Apple iPhone 12 (128GB) - White,128 GB,"60,900",4.6,"10,032"
Apple iPhone SE (128 GB) - (Product) RED (3rd Generation),128 GB,"47,990",4.2,163
Apple iPhone 12 Mini (128GB) - Blue,128 GB,"64,900",4.5,"5,804"
Apple iPhone 11 (128GB) - Yellow,128 GB,"49,900",4.5,259
Apple iPhone XR (128GB) - Coral,128 GB,"42,999",4.5,"7,599"
Apple iPhone 13 (128GB) - Blue,128 GB,"68,900",4.6,"6,824"
Apple iPhone 13 (128GB) - Midnight,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (128GB) - Starlight,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (256 GB) - Green,256GB,"76,900",4.6,"6,824"
Apple iPhone 12 (128GB) - Purple,128 GB,"60,900",4.6,"10,032"
Apple iPhone 13 Pro Max (256GB) - Sierra Blue,256GB,"1,25,900",4.7,923
Apple iPhone 13 Pro (128GB) - Sierra Blue,128 GB,"1,04,900",4.7,755
Apple iPhone 13 (128GB) - (Product) RED,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Blue,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Midnight,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Starlight,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Pink,256GB,"76,900",4.6,"6,824"
Apple iPhone 12 (128GB) - White,128 GB,"60,900",4.6,"10,032"
Apple iPhone SE (128 GB) - (Product) RED (3rd Generation),128 GB,"47,990",4.2,163
Apple iPhone 12 Mini (128GB) - Blue,128 GB,"64,900",4.5,"5,804"
Apple iPhone 11 (128GB) - Yellow,128 GB,"49,900",4.5,259
Apple iPhone XR (128GB) - Coral,128 GB,"42,999",4.5,"7,599"
Apple iPhone 13 (128GB) - Blue,128 GB,"68,900",4.6,"6,824"
Apple iPhone 13 (128GB) - Midnight,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (128GB) - Starlight,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (256 GB) - Green,256GB,"76,900",4.6,"6,824"
Apple iPhone 12 (128GB) - Purple,128 GB,"60,900",4.6,"10,032"
Apple iPhone 13 Pro Max (256GB) - Sierra Blue,256GB,"1,25,900",4.7,923
Apple iPhone 13 Pro (128GB) - Sierra Blue,128 GB,"1,04,900",4.7,755
Apple iPhone 13 (128GB) - (Product) RED,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Blue,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Midnight,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Starlight,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Pink,256GB,"76,900",4.6,"6,824"
Apple iPhone 12 (128GB) - White,128 GB,"60,900",4.6,"10,032"
Apple iPhone SE (128 GB) - (Product) RED (3rd Generation),128 GB,"47,990",4.2,163
Apple iPhone 12 Mini (128GB) - Blue,128 GB,"64,900",4.5,"5,804"
Apple iPhone 11 (128GB) - Yellow,128 GB,"49,900",4.5,259
Apple iPhone XR (128GB) - Coral,128 GB,"42,999",4.5,"7,599"
Apple iPhone 13 (128GB) - Blue,128 GB,"68,900",4.6,"6,824"
Apple iPhone 13 (128GB) - Midnight,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (128GB) - Starlight,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (256 GB) - Green,256GB,"76,900",4.6,"6,824"
Apple iPhone 12 (128GB) - Purple,128 GB,"60,900",4.6,"10,032"
Apple iPhone 13 Pro Max (256GB) - Sierra Blue,256GB,"1,25,900",4.7,923
Apple iPhone 13 Pro (128GB) - Sierra Blue,128 GB,"1,04,900",4.7,755
Apple iPhone 13 (128GB) - (Product) RED,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Blue,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Midnight,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Starlight,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Pink,256GB,"76,900",4.6,"6,824"
Apple iPhone 12 (128GB) - White,128 GB,"60,900",4.6,"10,032"
Apple iPhone SE (128 GB) - (Product) RED (3rd Generation),128 GB,"47,990",4.2,163
Apple iPhone 12 Mini (128GB) - Blue,128 GB,"64,900",4.5,"5,804"
Apple iPhone 11 (128GB) - Yellow,128 GB,"49,900",4.5,259
Apple iPhone XR (128GB) - Coral,128 GB,"42,999",4.5,"7,599"
Apple iPhone 13 (128GB) - Blue,128 GB,"68,900",4.6,"6,824"
Apple iPhone 13 (128GB) - Midnight,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (128GB) - Starlight,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (256 GB) - Green,256GB,"76,900",4.6,"6,824"
Apple iPhone 12 (128GB) - Purple,128 GB,"60,900",4.6,"10,032"
Apple iPhone 13 Pro Max (256GB) - Sierra Blue,256GB,"1,25,900",4.7,923
Apple iPhone 13 Pro (128GB) - Sierra Blue,128 GB,"1,04,900",4.7,755
Apple iPhone 13 (128GB) - (Product) RED,128 GB,"69,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Blue,256GB,"76,900",4.6,"6,824"
Apple iPhone 13 (256GB) - Midnight,256GB,"76,900",4.6,"6,824"
